40,25
40,45
40,65
40,85
40,105
40,125
40,165
40,185
40,201
40,245
40,265
40,285
40,305
40,325
40,345
40,365
40,415
40,435
40,455
40,495
40,515
40,575
60,25
60,85
60,201
68,225
60,245
60,305
60,365
60,455
60,515
60,575
80,25
80,85
80,201
80,245
80,305
80,365
80,455
80,515
80,575
100,25
100,85
100,145
100,165
100,185
100,201
100,245
100,265
100,285
100,305
100,365
100,389
100,415
100,435
100,455
100,475
100,495
100,515
100,535
100,555
100,575
120,25
120,85
120,145
120,201
120,285
120,389
120,455
120,575
140,25
140,85
140,145
140,201
140,285
140,389
140,455
140,575
160,25
160,85
160,145
160,201
160,225
160,245
160,265
160,285
160,305
160,325
160,345
160,365
160,389
160,415
160,435
160,455
160,515
160,535
160,555
160,575
180,25
180,45
180,65
180,85
180,105
180,125
180,145
180,365
180,455
180,475
180,495
180,515
180,575
200,145
200,515
200,575
220,145
220,515
220,575
240,25
240,45
240,65
240,85
240,105
240,125
240,145
240,415
240,435
240,455
240,515
240,575
260,25
260,85
260,145
260,455
260,515
260,535
260,555
260,575
280,25
280,85
280,145
280,455
280,575
300,25
300,65
300,85
300,145
300,415
300,435
300,575
320,25
320,85
320,145
320,455
320,535
320,555
320,575
340,25
340,85
340,145
340,455
340,515
340,575
360,25
360,45
360,65
360,85
360,105
360,125
360,145
360,415
360,435
360,455
360,515
360,575
380,145
380,515
380,575
400,145
400,515
400,575
420,25
420,45
420,65
420,85
420,105
420,125
420,145
420,365
420,455
420,475
420,495
420,515
420,575
440,25
440,85
440,145
440,201
440,225
440,245
440,265
440,285
440,305
440,325
440,345
440,365
440,389
440,415
440,435
440,455
440,515
440,535
440,555
440,575
460,25
460,85
460,145
460,201
460,285
460,389
460,455
460,575
480,25
480,85
480,145
480,201
480,285
480,389
480,455
480,575
500,25
500,85
500,145
500,165
500,185
500,201
500,245
500,265
500,285
500,305
500,365
500,389
500,415
500,435
500,455
500,475
500,495
500,515
500,535
500,555
500,575
520,25
520,85
520,201
520,225
520,245
520,305
520,365
520,455
520,515
520,575
540,25
540,85
540,201
540,245
540,305
540,365
540,455
540,515
540,575
560,25
560,45
560,65
560,85
560,105
560,125
560,165
560,185
560,201
560,245
560,265
560,285
560,305
560,345
560,365
560,415
560,435
560,455
560,495
560,515
560,575
